301: 8195726,22625
302: 25107
303: 40203
304: 20110668,18838
305: 24462958,32410
306: 4745,145804,8221
308: 1118041,8005
309: 25421
310: 9426,37284
311: 15508
314: 18842359,216226
315: 48519,19740545
316: 24475,24474,24025
318: 26495
320: 45206,3372377
321: 145439,24406
322: 28814472
323: 18963870,15928,18960210
324: 16594665
325: 1008588,190041
327: 27992
329: 3966054,10934212
330: 14889,38777061
331: 33309,23273
332: 2256795,2256795
333: 1805,9028799,37220
334: 18934432
335: 38534,9127632,83441
336: 51054,20632326
337: 607070
338: 24462958,1525
339: 18914017,18914017,33632441,1778796
340: 18172
341: 284770
342: 28165911,61095
343: 23627,8221
344: 424739,9738
345: 235890,30942,296328
347: 144219,18783051
348: 57723
349: 20374
350: 8587640,249402
351: 7550182,23195,614302
352: 13530298,5702
353: 18959138,25437008
354: 15928,24462958
355: 18842359,228148
356: 49611,22581
357: 496983,8619057
358: 4845,8221
359: 1037284,30857467
360: 13803076,80381
361: 38180,102075
362: 68714
363: 18580879
364: 16946852
365: 10531
366: 506443,5910
367: 50715
368: 57880
369: 26534334,168536
370: 10646,51036
371: 490201,337667
372: 21217,58286
373: 10294,51462,307592
374: 52497,8053459
375: 188545,1055835
376: 14918
377: 38323,12254052
378: 9472,3379016
380: 56435,13311819
381: 1845
382: 188545,188545,13673345
383: 19356,33632441
384: 50896,19331
385: 157736,21188370,13673345
386: 9252,56285,128987
387: 37257
388: 37738,37738
389: 18949668,315952
390: 395889
391: 254769,9311172
392: 20903754
393: 10477944
394: 13603
396: 404088
397: 13673345,892586
398: 9239,191130
399: 1540172
400: 48139
401: 437868,21212
402: 24235330
403: 22461
404: 147575
405: 31880,2770842
406: 22228064
407: 52989,144219,1219810
409: 81024,5409919
410: 179592
411: 3321698,272778,146880
412: 284770
413: 27058,27058
414: 5042481,27712,307592
415: 25949,4525386
416: 65192
419: 70157,13673345,65037
420: 488743,6136
421: 216161,210555
422: 752,31287,62312
423: 25862556,648803
425: 1719292,1719292
426: 30871819,537859
427: 31990,515534,157898
429: 41678169
430: 161804,5058690
431: 20903754,29816
432: 2560533,80750,23627
433: 148363,171171,19224834
434: 28222445,9391
437: 140281,22131,8166749,9550
439: 44312,26700,53231
440: 101942
441: 244113
442: 9418,1261305
443: 18717338,63121,5334607
444: 762691
445: 33183,50405
447: 186919
448: 27008,19417927
449: 1805
450: 80608,26230922
601: 11125639,7515928
602: 5321,26830,28791
603: 30942,38327,38327,113258
604: 244113,1776
605: 31717
606: 19166409,248234
607: 682482,1590357,12385
608: 48728
609: 357788,18948043,18948043
610: 18862,2973859
611: 3979351
612: 31516,266137
613: 3722,146382
614: 293676,293676,9940234
615: 59399,307592,689
616: 32413,3966054
617: 25391,5588
618: 26232,5902
619: 33683
620: 5843419,337775
621: 217115,5955
622: 92026
623: 170567,27179600
624: 29186,29186
625: 170638,47628,11395198
626: 19377820
627: 644135,216361
628: 205550
629: 765,1930919,31981
630: 23475629
631: 21492751,17416221,24356889
632: 28741,30042,33759420
633: 69894,31255115,31255115
634: 58358,8221
635: 428966,162615,16831059
636: 44720,960403
637: 173072,173072
639: 7818,1118379
640: 665986,669856
641: 144219,20021,20021
642: 44534
643: 36984,51518,78147
644: 394815,394815
645: 18948365
646: 659087
647: 43490,9550
648: 665986,18949668
650: 2256795,14559
651: 105004,22949
652: 47725,4829
653: 9926,222438,30636
654: 5488304,28022
655: 20689902
656: 294338,128987
657: 277257,17253537
658: 228824
660: 300591,5407
661: 716631,7172,10055
662: 162180,18576029
663: 2547,202522
664: 21217,738406
665: 1952402,27067
666: 19831,52382
668: 64959,4637216,8072
669: 347268
671: 88801,2945494
672: 70101
673: 80197,19666611
674: 12233,440936
675: 22576,156423,22425760
676: 161758,11984
677: 46889
678: 33625777
679: 35937111,38534,161228
680: 4599312,963152,28022
681: 277289,17516
682: 4599312,20557093
683: 1810963,873028
684: 1798796,1633074
685: 324,324
686: 18951905,1412416,18717338
687: 21265
688: 18932
690: 14423,9252
691: 1091638,11090
692: 88078,1463215,13311819
693: 22112840,1957258
694: 5966,5966
695: 264782,870351
696: 252712,42048
697: 242294
698: 18456,332372,5334607
699: 505825
700: 360781,18717338
